Timesheet_ID,Employee_ID,Project_ID,Date,Billable_Hours,Non_Billable_Hours
T400167,E2131,P3015,2026-07-18,5.2,0.1
T400168,E2076,P3084,2026-05-26,8.8,1.3
T400169,E2030,P3008,2025-12-13,10.0,2.7
T400170,E2021,P3114,2026-09-10,3.9,1.0
T400171,E2034,P3005,2026-05-18,1.1,0.6
T400172,E2041,P3066,2025-01-25,10.0,0.6
T400173,E2051,P3092,2025-04-02,9.9,0.5
T400174,E2082,P3086,2025-11-25,3.3,0.6
T400175,E2058,P3073,2026-06-22,6.3,0.2
T400176,E2075,P3092,2026-08-25,7.0,1.4
T400177,E2023,P3046,2026-11-18,4.0,1.7
T400178,E2128,P3065,2025-12-08,2.0,1.4
T400179,E2150,P3116,2026-03-24,5.0,0.4
T400180,E2017,P3100,2026-01-31,1.8,0.6
T400181,E2069,P3113,2026-06-26,10.0,2.1
T400182,E2108,P3106,2026-06-10,10.0,2.6
T400183,E2139,P3066,2026-05-17,10.0,0.2
T400184,E2094,P3102,2026-02-11,1.0,1.3
T400185,E2015,P3026,2025-05-10,4.2,1.3
T400186,E2091,P3031,2025-05-11,1.9,0.5
T400187,E2033,P3051,2026-06-02,7.3,1.2
T400188,E2125,P3041,2026-12-24,0.6,0.2
T400189,E2016,P3051,2025-05-29,10.0,1.1
T400190,E2066,P3019,2025-10-03,4.9,0.9
T400191,E2047,P3095,2026-10-23,5.0,0.9
T400192,E2148,P3073,2026-07-06,5.5,3.6
T400193,E2124,P3003,2025-07-15,2.3,4.0
T400194,E2001,P3038,2026-02-13,9.4,1.9
T400195,E2087,P3070,2026-09-28,4.6,1.8
T400196,E2128,P3113,2025-03-12,7.5,1.5
T400197,E2067,P3045,2025-07-18,0.1,0.3
T400198,E2004,P3109,2026-06-29,10.0,0.3
T400199,E2047,P3071,2026-08-25,1.7,3.0
T400200,E2038,P3041,2026-04-10,1.6,0.3
T400201,E2143,P3025,2025-03-31,5.8,0.6
T400202,E2021,P3089,2026-12-12,6.7,0.4
T400203,E2057,P3050,2026-07-22,10.0,1.1
T400204,E2117,P3001,2025-01-01,6.9,1.4
T400205,E2046,P3054,2025-06-16,9.8,0.3
T400206,E2142,P3086,2026-07-03,8.2,0.7
T400207,E2145,P3084,2026-08-14,10.0,0.8
T400208,E2039,P3013,2025-08-30,10.0,0.2
T400209,E2137,P3040,2025-05-14,4.3,1.3
T400210,E2099,P3021,2025-09-09,3.3,0.9
T400211,E2077,P3087,2025-01-22,4.6,1.5
T400212,E2115,P3041,2026-12-31,10.0,0.6
T400213,E2134,P3061,2025-03-13,3.2,0.7
T400214,E2091,P3033,2026-06-05,5.7,0.4
T400215,E2098,P3073,2026-10-09,2.4,0.2
T400216,E2120,P3029,2026-12-08,4.1,1.5
T400217,E2046,P3116,2026-07-24,2.8,0.8
T400218,E2038,P3055,2026-05-16,4.7,0.5
T400219,E2142,P3032,2025-11-04,7.5,0.4
T400220,E2100,P3011,2025-09-08,7.6,1.4
T400221,E2072,P3052,2026-08-26,3.3,0.8
T400222,E2035,P3036,2025-07-23,1.1,1.3
T400223,E2147,P3093,2025-01-08,10.0,3.1
T400224,E2030,P3112,2025-04-18,10.0,0.7
T400225,E2078,P3031,2026-09-24,10.0,3.3
T400226,E2084,P3014,2026-06-07,4.3,1.3
T400227,E2113,P3063,2026-01-08,0.3,1.3
T400228,E2025,P3052,2026-01-21,10.0,0.4
T400229,E2088,P3054,2025-07-02,5.1,1.1
T400230,E2014,P3117,2025-11-05,2.6,1.0
T400231,E2102,P3050,2025-06-28,6.1,0.1
T400232,E2150,P3089,2026-12-19,3.9,0.6
T400233,E2083,P3054,2026-08-27,6.0,2.1
T400234,E2110,P3090,2025-08-15,3.9,2.5
T400235,E2131,P3086,2026-06-02,1.7,1.0
T400236,E2019,P3073,2025-01-12,9.1,1.1
T400237,E2028,P3097,2025-09-07,5.2,0.3
T400238,E2071,P3087,2026-02-22,10.0,1.5
T400239,E2063,P3099,2026-01-12,1.1,2.4
T400240,E2073,P3084,2025-07-17,8.6,0.5
T400241,E2124,P3097,2026-10-01,12.1,4.0
T400242,E2119,P3035,2026-03-24,10.0,1.9
T400243,E2121,P3110,2025-02-06,5.7,1.5
T400244,E2019,P3030,2026-02-25,7.3,1.2
T400245,E2142,P3110,2025-01-08,1.4,3.0
T400246,E2120,P3055,2025-06-14,0.2,1.9
T400247,E2061,P3094,2025-04-30,10.6,1.9
T400248,E2030,P3086,2026-01-07,10.0,0.6
T400249,E2009,P3109,2025-08-21,1.2,2.9
T400250,E2064,P3001,2026-03-06,2.2,1.4
T400251,E2120,P3015,2025-10-14,8.2,2.7
T400252,E2052,P3025,2026-01-30,10.0,0.4
T400253,E2089,P3020,2026-02-24,4.3,0.0
T400254,E2142,P3071,2026-03-28,6.3,4.0
T400255,E2053,P3016,2026-10-19,6.3,0.1
T400256,E2078,P3052,2025-09-29,5.7,0.6
T400257,E2041,P3087,2025-10-13,2.7,4.0
T400258,E2068,P3085,2025-02-08,6.8,0.1
T400259,E2008,P3065,2026-07-10,5.7,1.3
T400260,E2002,P3111,2026-05-12,3.4,2.2
T400261,E2105,P3084,2026-05-03,10.0,3.0
T400262,E2125,P3111,2026-01-07,1.5,2.3
T400263,E2110,P3083,2026-07-03,10.0,1.3
T400264,E2086,P3070,2026-02-14,8.1,0.7
T400265,E2120,P3102,2025-09-13,10.0,0.5
T400266,E2127,P3096,2026-04-21,2.2,2.0
T400267,E2016,P3001,2025-07-30,10.0,0.8
T400268,E2062,P3094,2026-02-09,4.8,0.8
T400269,E2113,P3016,2026-08-27,10.0,3.0
T400270,E2012,P3027,2026-06-15,6.4,0.6
T400271,E2035,P3018,2026-09-04,1.6,0.3
T400272,E2011,P3077,2026-01-30,1.3,0.9
T400273,E2064,P3044,2026-10-21,10.0,2.4
T400274,E2050,P3050,2026-08-04,0.6,0.8
T400275,E2149,P3092,2025-05-10,5.4,1.4
T400276,E2069,P3074,2025-01-25,10.0,0.1
T400277,E2048,P3014,2026-09-19,9.5,0.5
T400278,E2020,P3052,2025-03-31,3.6,0.5
T400279,E2101,P3093,2025-09-30,4.5,0.5
T400280,E2137,P3075,2025-12-07,10.0,1.3
T400281,E2068,P3050,2025-07-31,4.4,1.4
T400282,E2035,P3120,2026-09-15,5.3,1.0
T400283,E2065,P3091,2025-12-14,2.7,1.6
T400284,E2008,P3108,2026-08-11,8.2,0.5
T400285,E2045,P3017,2025-10-23,10.0,0.5
T400286,E2087,P3120,2026-01-25,4.9,0.9
T400287,E2076,P3003,2025-03-29,1.4,2.5
T400288,E2076,P3062,2026-03-03,2.1,1.2
T400289,E2047,P3095,2025-06-19,7.0,0.5
T400290,E2015,P3021,2025-05-27,3.2,0.6
T400291,E2105,P3033,2025-08-28,10.0,0.3
T400292,E2147,P3001,2025-02-24,4.9,1.0
T400293,E2026,P3070,2026-08-27,10.0,3.0
T400294,E2052,P3115,2026-10-31,6.9,0.9
T400295,E2093,P3056,2026-06-04,1.8,0.2
T400296,E2150,P3004,2025-10-26,3.6,3.0
T400297,E2021,P3022,2026-09-02,5.3,0.7
T400298,E2051,P3077,2026-07-16,10.0,1.4
T400299,E2038,P3058,2026-12-26,13.6,1.4
T400300,E2020,P3044,2025-01-04,1.8,2.9
T400301,E2132,P3057,2025-12-30,4.8,0.7
T400302,E2055,P3094,2025-10-19,7.0,1.4
T400303,E2092,P3040,2026-01-24,2.9,0.5
T400304,E2028,P3116,2026-04-16,3.6,0.9
T400305,E2004,P3090,2026-06-15,1.6,2.1
T400306,E2150,P3056,2026-03-02,7.5,0.3
T400307,E2076,P3063,2026-02-03,2.4,2.9
T400308,E2067,P3103,2025-10-31,1.1,0.4
T400309,E2086,P3117,2026-12-14,4.6,2.3
T400310,E2091,P3039,2025-04-14,7.7,0.3
T400311,E2105,P3007,2025-11-27,5.7,3.3
T400312,E2001,P3014,2025-12-30,6.0,0.1
T400313,E2072,P3090,2026-01-01,3.7,4.0
T400314,E2087,P3018,2025-03-23,3.8,1.0
T400315,E2006,P3055,2026-07-21,10.0,4.0
T400316,E2145,P3115,2026-11-07,10.0,1.0
T400317,E2061,P3056,2025-03-26,6.3,0.5
T400318,E2012,P3088,2025-08-07,2.5,0.6
T400319,E2006,P3057,2026-01-03,10.0,0.7
T400320,E2027,P3116,2026-12-26,10.0,0.3
T400321,E2136,P3058,2026-12-16,10.0,0.5
T400322,E2124,P3115,2025-08-30,4.9,1.6
T400323,E2106,P3025,2025-06-11,6.9,2.0
T400324,E2093,P3114,2025-06-28,3.4,1.7
T400325,E2109,P3096,2025-04-02,7.2,2.6
T400326,E2099,P3070,2026-05-15,6.4,2.3
T400327,E2142,P3080,2026-10-12,10.0,2.1
T400328,E2035,P3003,2026-05-21,3.7,0.8
T400329,E2084,P3021,2026-09-16,10.0,1.5
T400330,E2056,P3032,2025-06-18,1.5,2.3
T400331,E2141,P3002,2026-01-22,11.3,1.0
T400332,E2049,P3111,2025-11-17,10.0,1.2
T400333,E2046,P3020,2025-04-11,2.8,1.7
T400334,E2113,P3075,2025-10-23,8.3,2.2
T400335,E2136,P3115,2025-07-12,9.6,4.0
T400336,E2043,P3018,2026-04-06,7.5,0.1
T400337,E2148,P3054,2026-12-20,10.0,1.3
T400338,E2124,P3075,2025-10-13,10.0,2.3
T400339,E2097,P3099,2025-08-04,1.8,4.0
T400340,E2090,P3036,2026-04-01,6.9,0.2
T400341,E2039,P3102,2025-08-16,4.6,0.1
T400342,E2085,P3076,2025-12-27,10.0,0.5
T400343,E2062,P3061,2025-02-12,8.6,0.5
T400344,E2106,P3060,2025-06-30,6.1,1.6
T400345,E2107,P3095,2026-05-26,2.9,1.2
T400346,E2054,P3117,2026-04-07,3.9,0.8
T400347,E2126,P3036,2025-10-13,2.3,3.9
T400348,E2009,P3094,2025-10-24,7.8,1.0
T400349,E2088,P3044,2026-07-10,3.3,3.2
T400350,E2037,P3068,2025-02-06,5.2,1.3
T400351,E2049,P3066,2025-03-24,10.0,1.6
T400352,E2041,P3044,2025-09-14,10.0,0.7
T400353,E2017,P3077,2025-08-05,10.0,0.2
T400354,E2088,P3090,2026-06-06,2.1,1.8
T400355,E2021,P3029,2025-01-26,1.4,0.3
T400356,E2051,P3048,2025-09-08,10.0,0.3
T400357,E2059,P3036,2025-08-03,5.8,1.8
T400358,E2041,P3092,2026-10-19,4.4,2.6
T400359,E2039,P3008,2025-11-16,3.4,1.8
T400360,E2141,P3005,2026-02-15,3.4,0.7
T400361,E2011,P3096,2026-04-04,10.0,1.9
T400362,E2147,P3094,2025-11-20,3.8,4.0
T400363,E2139,P3078,2026-06-14,2.7,0.6
T400364,E2077,P3047,2025-12-05,7.9,2.3
T400365,E2127,P3043,2025-08-16,3.1,1.2
T400366,E2046,P3010,2025-08-24,4.5,4.0
T400367,E2045,P3010,2026-01-01,0.3,2.0
T400368,E2001,P3120,2026-03-10,10.0,2.9
T400369,E2108,P3006,2026-03-25,9.2,1.5
T400370,E2019,P3016,2026-05-22,7.7,0.8
T400371,E2076,P3060,2025-10-03,10.0,2.2
T400372,E2072,P3026,2026-09-25,4.7,1.0
T400373,E2109,P3021,2025-03-03,7.7,1.1
T400374,E2012,P3100,2025-11-27,10.0,0.2
T400375,E2045,P3058,2025-07-06,3.8,0.2
T400376,E2090,P3041,2026-06-21,10.0,0.9
T400377,E2103,P3106,2026-05-20,10.0,1.3
T400378,E2008,P3030,2026-08-31,4.1,0.9
T400379,E2091,P3005,2025-11-17,10.0,2.1
T400380,E2087,P3010,2025-07-12,6.5,1.8
T400381,E2084,P3112,2025-09-11,9.6,1.4
T400382,E2082,P3095,2026-08-02,7.8,2.9
T400383,E2146,P3011,2025-11-10,10.0,1.4
T400384,E2068,P3102,2026-07-06,8.6,0.3
T400385,E2127,P3063,2025-08-12,8.6,1.6
T400386,E2082,P3007,2026-03-07,10.0,1.0
T400387,E2147,P3059,2025-12-22,4.1,0.2
T400388,E2084,P3012,2026-03-03,10.0,0.8
T400389,E2113,P3064,2026-01-27,8.9,0.1
T400390,E2076,P3109,2025-08-10,7.8,1.2
T400391,E2122,P3113,2025-04-13,0.6,0.4
T400392,E2143,P3041,2025-11-14,5.6,0.2
T400393,E2041,P3060,2026-11-05,4.7,0.5
T400394,E2002,P3072,2026-06-21,2.3,2.7
T400395,E2029,P3028,2026-10-28,7.9,0.3
T400396,E2105,P3080,2025-08-07,10.0,0.6
T400397,E2051,P3063,2026-03-14,3.6,0.8
T400398,E2075,P3117,2026-12-28,2.1,1.1
T400399,E2010,P3003,2025-06-18,3.4,0.5
T400400,E2142,P3101,2026-08-15,10.0,1.5
T400401,E2051,P3032,2025-03-13,7.4,1.2
T400402,E2118,P3021,2026-07-29,3.8,0.8
T400403,E2121,P3055,2026-04-01,10.0,3.2
T400404,E2039,P3109,2025-03-16,7.3,0.7
T400405,E2028,P3018,2025-09-20,10.0,2.9
T400406,E2003,P3053,2026-04-14,3.9,0.5
T400407,E2084,P3112,2026-09-02,3.5,0.6
T400408,E2117,P3110,2026-08-20,3.5,0.3
T400409,E2002,P3075,2026-10-23,2.7,0.7
T400410,E2093,P3061,2026-06-02,7.3,1.9
T400411,E2131,P3050,2026-09-13,12.7,0.8
T400412,E2144,P3008,2025-07-18,7.8,0.9
T400413,E2094,P3012,2025-12-04,10.0,0.6
T400414,E2040,P3051,2025-02-07,3.3,0.6
T400415,E2002,P3116,2025-11-15,8.9,0.3
T400416,E2081,P3066,2026-10-02,6.5,2.6
T400417,E2012,P3041,2025-05-20,9.0,0.2
T400418,E2065,P3022,2025-09-05,3.4,0.8
T400419,E2055,P3009,2026-10-21,4.7,1.4
T400420,E2045,P3078,2026-03-03,2.7,0.3
T400421,E2101,P3079,2025-07-14,10.0,0.1
T400422,E2062,P3011,2025-08-03,10.0,2.7
T400423,E2049,P3013,2026-10-07,5.6,1.1
T400424,E2127,P3056,2026-06-25,3.1,1.4
T400425,E2023,P3028,2026-09-02,8.1,0.2
T400426,E2038,P3089,2026-01-24,3.7,2.0
T400427,E2028,P3064,2026-03-05,10.0,1.2
T400428,E2021,P3101,2026-11-25,13.1,0.3
T400429,E2107,P3064,2025-06-01,10.0,1.7
T400430,E2146,P3070,2025-04-13,5.4,4.0
T400431,E2099,P3055,2026-02-09,0.8,0.5
T400432,E2119,P3037,2025-10-15,4.4,1.1
T400433,E2073,P3033,2025-05-13,2.0,0.2
T400434,E2122,P3025,2026-03-22,5.8,0.4
T400435,E2030,P3114,2026-02-06,2.2,0.0
T400436,E2108,P3023,2025-02-04,4.4,0.3
T400437,E2098,P3060,2026-08-15,10.0,1.2
T400438,E2032,P3056,2025-12-10,1.5,1.0
T400439,E2079,P3063,2026-04-29,14.0,0.0
T400440,E2041,P3008,2026-10-07,5.5,1.2
T400441,E2063,P3017,2026-06-05,2.4,1.5
T400442,E2023,P3095,2026-01-23,10.0,1.2
T400443,E2104,P3090,2026-06-29,10.0,0.2
T400444,E2075,P3119,2026-11-30,3.1,0.4
T400445,E2048,P3057,2025-01-11,4.1,1.4
T400446,E2057,P3075,2026-08-04,3.8,1.3
T400447,E2118,P3062,2025-05-18,9.1,0.9
T400448,E2100,P3094,2025-05-11,9.3,0.3
T400449,E2124,P3011,2026-02-03,8.5,1.6
T400450,E2034,P3067,2025-09-08,3.3,0.7
T400451,E2007,P3040,2026-09-27,8.5,3.7
T400452,E2056,P3040,2026-01-01,10.0,2.0
T400453,E2065,P3056,2026-02-25,10.0,1.5
T400454,E2047,P3053,2026-02-28,10.0,0.5
T400455,E2148,P3085,2025-06-11,4.6,4.0
T400456,E2019,P3099,2025-04-05,7.3,0.8
T400457,E2146,P3028,2025-06-11,10.0,0.2
T400458,E2126,P3086,2025-12-27,10.0,0.5
T400459,E2139,P3042,2025-08-17,10.0,1.6
T400460,E2049,P3115,2025-04-26,1.4,1.2
T400461,E2113,P3046,2025-08-09,7.2,1.6
T400462,E2038,P3018,2026-04-08,9.7,2.0
T400463,E2064,P3023,2026-11-12,10.0,1.8
T400464,E2069,P3026,2025-11-11,2.2,0.4
T400465,E2136,P3099,2025-11-26,3.8,0.5
T400466,E2116,P3029,2026-10-19,7.2,1.0
T400467,E2065,P3052,2025-10-13,1.9,2.0
T400468,E2031,P3110,2025-07-01,3.4,1.6
T400469,E2132,P3075,2026-04-01,5.7,1.3
T400470,E2113,P3106,2025-10-02,3.9,2.8
T400471,E2109,P3120,2025-02-06,10.0,1.0
T400472,E2069,P3046,2026-03-19,3.1,2.6
T400473,E2120,P3001,2025-02-05,10.0,1.3
T400474,E2088,P3063,2025-03-09,2.0,1.6
T400475,E2067,P3016,2026-02-14,1.7,3.1
T400476,E2075,P3025,2025-12-26,10.0,1.0
T400477,E2045,P3062,2025-05-01,5.5,2.3
T400478,E2004,P3102,2026-10-29,0.1,1.2
T400479,E2107,P3082,2026-12-18,5.2,3.5
T400480,E2051,P3080,2026-07-10,10.0,0.2
T400481,E2050,P3083,2026-04-27,7.6,0.6
T400482,E2006,P3016,2025-10-16,10.0,1.7
T400483,E2059,P3069,2025-03-31,10.0,0.1
T400484,E2125,P3091,2025-07-31,5.0,1.4
T400485,E2143,P3108,2026-07-29,10.0,1.4
T400486,E2030,P3070,2025-03-13,10.0,0.0
T400487,E2122,P3034,2025-10-17,2.2,1.2
T400488,E2125,P3080,2026-01-02,8.6,0.2
T400489,E2037,P3053,2025-01-27,6.3,0.9
T400490,E2124,P3023,2026-02-24,6.9,1.3
T400491,E2101,P3043,2025-12-28,11.6,0.1
T400492,E2035,P3044,2026-07-19,10.0,0.6
T400493,E2087,P3032,2026-03-31,7.2,0.8
T400494,E2134,P3107,2026-09-04,8.0,2.5
T400495,E2018,P3023,2026-04-17,2.2,1.1
T400496,E2113,P3020,2026-08-14,7.8,2.0
T400497,E2029,P3019,2026-01-04,4.7,0.2
T400498,E2077,P3093,2025-11-22,10.0,0.8
T400499,E2059,P3072,2026-02-14,6.9,4.0
T400500,E2126,P3029,2026-08-25,10.0,2.1
T400501,E2145,P3018,2026-05-18,4.8,1.0
T400502,E2109,P3069,2025-01-25,10.0,2.8
T400503,E2022,P3012,2025-06-10,10.0,0.7
T400504,E2068,P3010,2025-07-14,5.7,0.9
T400505,E2069,P3111,2026-12-14,5.7,1.0
T400506,E2049,P3037,2026-02-25,7.6,2.7
T400507,E2141,P3081,2026-11-09,10.0,0.7
T400508,E2109,P3096,2025-01-13,7.8,2.7
T400509,E2086,P3055,2026-02-11,10.0,0.4
T400510,E2053,P3004,2025-12-21,3.6,1.0
T400511,E2123,P3095,2025-09-03,8.1,0.6
T400512,E2087,P3063,2025-03-29,7.8,2.3
T400513,E2131,P3090,2026-03-15,2.0,2.0
T400514,E2042,P3012,2026-02-25,4.5,2.9
T400515,E2098,P3018,2026-10-14,10.0,0.6
