Expense_ID,Project_ID,Expense_Date,Expense_Type,Amount
X600074,P3047,2026-10-19,Travel,22.3
X600075,P3052,2025-01-25,Travel,138.46
X600076,P3023,2025-04-24,Software,84.1
X600077,P3083,2025-04-23,Travel,71.45
X600078,P3032,2025-10-26,Travel,30.34
X600079,P3082,2026-03-21,Software,86.4
X600080,P3077,2025-06-05,Accommodation,71.3
X600081,P3018,2026-08-22,Client Event,37.12
X600082,P3117,2025-05-06,Accommodation,109.12
X600083,P3038,2025-03-05,Travel,101.38
X600084,P3012,2025-02-03,Travel,236.95
X600085,P3033,2026-06-09,Other,84.41
X600086,P3051,2026-03-01,Travel,39.46
X600087,P3079,2026-07-26,Travel,111.62
X600088,P3021,2025-07-09,Training,23.32
X600089,P3003,2026-08-26,Accommodation,39.07
X600090,P3014,2026-12-27,Training,69.52
X600091,P3056,2026-04-21,Accommodation,102.99
X600092,P3050,2026-01-24,Travel,56.59
X600093,P3097,2026-08-30,Travel,122.87
X600094,P3016,2025-10-23,Other,62.28
X600095,P3092,2026-11-17,Travel,29.29
X600096,P3091,2025-04-25,Client Event,118.15
X600097,P3116,2026-11-10,Accommodation,30.27
X600098,P3120,2025-04-04,Other,661.46
X600099,P3031,2025-05-31,Software,78.19
X600100,P3069,2025-01-14,Accommodation,50.02
X600101,P3089,2026-07-02,Travel,54.3
X600102,P3111,2026-10-03,Accommodation,32.9
X600103,P3116,2026-07-27,Software,23.44
X600104,P3001,2025-01-26,Travel,95.38
X600105,P3075,2026-04-29,Travel,24.97
X600106,P3016,2025-06-01,Client Event,20.0
X600107,P3062,2025-04-20,Travel,173.9
X600108,P3038,2026-10-23,Accommodation,36.95
X600109,P3027,2025-08-23,Travel,150.72
X600110,P3097,2026-09-10,Training,26.92
X600111,P3100,2025-10-18,Other,29.0
X600112,P3015,2026-06-24,Client Event,119.59
X600113,P3074,2025-10-06,Travel,89.44
X600114,P3037,2025-05-14,Accommodation,73.95
X600115,P3027,2026-12-08,Client Event,140.12
X600116,P3070,2026-09-13,Travel,47.63
X600117,P3032,2026-06-17,Software,68.9
X600118,P3074,2026-10-12,Travel,164.71
X600119,P3117,2025-06-01,Other,179.49
X600120,P3060,2025-04-17,Client Event,29.14
X600121,P3014,2025-11-26,Travel,67.37
X600122,P3004,2025-06-09,Software,274.0
X600123,P3005,2025-12-02,Other,37.68
X600124,P3007,2026-07-17,Travel,62.28
X600125,P3083,2025-06-02,Software,20.92
X600126,P3048,2026-09-06,Accommodation,69.06
X600127,P3061,2025-10-21,Other,36.04
X600128,P3039,2025-01-08,Software,16.41
X600129,P3019,2025-02-22,Travel,97.37
X600130,P3074,2025-04-06,Other,28.92
X600131,P3067,2025-12-29,Software,38.24
X600132,P3025,2025-04-07,Client Event,101.38
X600133,P3097,2025-01-31,Client Event,88.43
X600134,P3011,2025-06-09,Travel,177.96
X600135,P3026,2026-04-12,Travel,55.76
X600136,P3053,2026-01-22,Travel,34.46
X600137,P3045,2026-12-07,Travel,72.54
X600138,P3033,2026-01-10,Client Event,117.58
X600139,P3084,2026-07-29,Travel,117.15
X600140,P3091,2026-01-26,Software,36.29
X600141,P3091,2026-10-27,Travel,68.15
X600142,P3004,2026-09-17,Accommodation,114.83
X600143,P3033,2025-07-18,Other,45.73
X600144,P3010,2026-01-18,Software,86.71
X600145,P3036,2025-06-01,Software,58.66
X600146,P3007,2025-07-20,Travel,44.68
X600147,P3038,2025-05-11,Accommodation,198.75
X600148,P3011,2026-11-07,Travel,88.06
X600149,P3005,2026-05-20,Software,91.91
X600150,P3038,2026-09-18,Accommodation,18.61
X600151,P3082,2025-06-05,Travel,36.89
X600152,P3109,2026-01-13,Travel,110.55
X600153,P3003,2025-03-02,Travel,64.57
X600154,P3066,2025-06-11,Client Event,55.62
X600155,P3037,2026-12-11,Travel,35.66
X600156,P3054,2026-09-25,Software,49.69
X600157,P3096,2026-12-13,Accommodation,17.48
X600158,P3107,2026-12-29,Accommodation,92.07
X600159,P3009,2026-08-25,Client Event,82.55
X600160,P3042,2026-09-27,Accommodation,85.99
X600161,P3110,2026-03-07,Training,25.87
X600162,P3010,2025-12-05,Travel,283.41
X600163,P3061,2025-03-17,Travel,124.41
X600164,P3007,2026-09-25,Accommodation,39.02
X600165,P3054,2026-12-22,Accommodation,15.36
X600166,P3003,2026-11-26,Other,64.32
X600167,P3077,2026-04-29,Client Event,18.98
X600168,P3120,2025-06-19,Other,160.69
X600169,P3115,2025-02-23,Other,71.88
X600170,P3042,2026-09-15,Other,99.21
X600171,P3117,2025-01-30,Other,26.31
X600172,P3101,2026-04-24,Travel,124.42
X600173,P3022,2026-05-08,Other,89.0
X600174,P3027,2026-04-29,Travel,50.39
X600175,P3076,2026-04-17,Training,74.46
X600176,P3037,2025-05-01,Travel,117.48
X600177,P3089,2025-02-22,Software,24.06
X600178,P3118,2026-10-22,Training,44.08
X600179,P3113,2026-06-21,Accommodation,175.49
X600180,P3097,2025-12-01,Software,126.71
X600181,P3077,2026-12-16,Travel,27.39
X600182,P3009,2025-08-23,Accommodation,27.93
X600183,P3102,2026-10-08,Client Event,133.27
X600184,P3003,2026-03-24,Other,185.13
X600185,P3021,2026-01-21,Training,41.7
X600186,P3063,2026-10-04,Accommodation,19.04
X600187,P3068,2026-02-02,Training,24.0
X600188,P3002,2025-11-24,Travel,86.22
X600189,P3033,2026-03-31,Travel,45.62
X600190,P3012,2025-03-17,Accommodation,89.69
X600191,P3053,2025-05-21,Software,54.78
X600192,P3076,2025-05-01,Client Event,67.34
X600193,P3006,2025-12-25,Software,88.14
X600194,P3021,2026-09-11,Software,121.58
X600195,P3110,2025-06-13,Travel,54.94
X600196,P3105,2025-11-14,Accommodation,326.22
X600197,P3011,2026-04-23,Software,16.33
X600198,P3030,2026-10-14,Training,60.37
X600199,P3094,2026-02-24,Software,69.97
X600200,P3079,2025-01-20,Accommodation,131.21
X600201,P3077,2025-08-29,Training,67.73
X600202,P3062,2026-11-23,Travel,31.17
X600203,P3088,2026-04-29,Travel,232.86
X600204,P3085,2026-11-11,Travel,36.22
X600205,P3097,2026-08-15,Travel,24.08
X600206,P3061,2026-06-14,Software,73.22
X600207,P3097,2025-10-16,Accommodation,485.01
X600208,P3032,2026-01-11,Software,86.38
X600209,P3073,2025-06-04,Travel,31.27
X600210,P3014,2026-05-07,Travel,181.62
X600211,P3057,2025-07-02,Training,134.5
X600212,P3053,2025-11-11,Software,39.33
X600213,P3118,2025-03-21,Software,138.86
X600214,P3114,2025-05-30,Software,143.65
X600215,P3022,2025-03-16,Travel,27.7
X600216,P3011,2026-02-25,Travel,13.33
X600217,P3115,2025-08-09,Other,233.48
X600218,P3057,2025-06-22,Travel,98.16
X600219,P3095,2025-02-28,Client Event,83.16
X600220,P3103,2025-12-09,Client Event,86.34
X600221,P3004,2026-10-18,Other,35.12
X600222,P3034,2026-03-30,Software,74.2
X600223,P3009,2026-12-17,Travel,18.86
X600224,P3032,2025-03-05,Client Event,131.85
X600225,P3071,2026-12-10,Training,47.85
X600226,P3056,2026-11-28,Travel,119.84
X600227,P3111,2025-11-13,Other,18.96
X600228,P3038,2025-06-10,Software,132.8
X600229,P3074,2025-09-30,Client Event,94.9
X600230,P3047,2026-08-13,Client Event,80.49
X600231,P3023,2025-12-02,Client Event,82.37
X600232,P3080,2026-11-18,Travel,43.99
X600233,P3115,2025-02-05,Client Event,424.84
X600234,P3008,2026-12-28,Travel,17.77
X600235,P3112,2026-05-15,Other,82.9
X600236,P3112,2026-11-15,Accommodation,88.66
X600237,P3016,2026-11-16,Training,35.31
X600238,P3114,2025-08-31,Travel,20.62
X600239,P3088,2025-02-07,Software,64.25
X600240,P3044,2026-11-08,Accommodation,65.66
X600241,P3069,2025-04-13,Travel,31.3
X600242,P3053,2025-04-29,Travel,201.96
X600243,P3034,2025-06-20,Software,86.73
X600244,P3040,2026-04-24,Accommodation,34.18
X600245,P3012,2025-02-12,Training,27.48
X600246,P3102,2026-04-09,Travel,15.17
X600247,P3114,2026-07-19,Client Event,66.89
X600248,P3093,2026-04-11,Travel,52.36
X600249,P3078,2026-07-10,Travel,261.51
X600250,P3041,2025-11-10,Accommodation,79.09
X600251,P3096,2025-10-12,Client Event,208.2
X600252,P3038,2026-09-27,Travel,63.79
X600253,P3068,2026-04-26,Travel,79.25
X600254,P3069,2025-04-08,Travel,70.3
X600255,P3114,2026-05-03,Other,75.79
X600256,P3071,2026-02-18,Accommodation,119.5
X600257,P3067,2025-04-12,Software,22.28
X600258,P3038,2026-11-27,Training,161.25
X600259,P3083,2025-10-11,Other,53.8
X600260,P3099,2025-03-12,Other,98.9
X600261,P3007,2025-09-21,Other,141.15
X600262,P3026,2025-08-14,Accommodation,37.48
X600263,P3111,2025-03-22,Travel,27.68
X600264,P3056,2026-02-14,Training,20.76
X600265,P3055,2026-07-19,Training,140.05
X600266,P3046,2026-01-20,Travel,37.51
X600267,P3042,2025-07-15,Travel,18.08
X600268,P3036,2025-11-18,Accommodation,50.32
X600269,P3105,2025-09-25,Software,129.33
X600270,P3096,2026-06-12,Travel,114.69
X600271,P3057,2025-01-23,Accommodation,10.95
X600272,P3091,2026-08-26,Client Event,219.79
X600273,P3102,2025-08-15,Other,64.52
X600274,P3035,2026-07-16,Client Event,36.68
X600275,P3106,2026-09-08,Accommodation,60.33
X600276,P3007,2025-11-25,Accommodation,54.47
X600277,P3037,2026-07-09,Travel,178.83
X600278,P3091,2025-01-02,Software,113.83
X600279,P3058,2025-09-01,Travel,216.33
X600280,P3099,2026-02-08,Other,29.52
X600281,P3021,2026-11-02,Training,74.64
X600282,P3091,2025-04-21,Travel,79.57
X600283,P3115,2026-08-26,Travel,31.41
X600284,P3028,2025-03-03,Software,71.88
X600285,P3075,2026-09-30,Client Event,54.98
X600286,P3034,2025-09-13,Training,33.39
X600287,P3109,2025-10-16,Travel,33.84
X600288,P3109,2025-11-13,Training,346.3
X600289,P3012,2026-04-03,Software,119.32
X600290,P3109,2026-12-10,Travel,43.97
X600291,P3071,2025-02-06,Travel,19.91
X600292,P3015,2025-03-04,Travel,57.18
X600293,P3113,2026-06-05,Other,26.31
X600294,P3076,2025-07-04,Travel,70.98
X600295,P3106,2026-08-23,Travel,26.41
X600296,P3024,2026-07-15,Other,50.47
X600297,P3009,2025-09-21,Software,54.42
X600298,P3048,2025-05-29,Accommodation,689.44
X600299,P3086,2026-04-04,Travel,76.36
X600300,P3053,2026-10-17,Travel,50.86
X600301,P3041,2025-03-25,Travel,104.83
X600302,P3116,2026-11-15,Client Event,54.68
X600303,P3050,2025-09-17,Client Event,150.62
X600304,P3111,2025-04-17,Training,36.48
X600305,P3116,2025-12-22,Other,24.37
X600306,P3038,2026-04-17,Travel,23.6
X600307,P3039,2026-05-08,Other,37.93
X600308,P3040,2026-09-28,Accommodation,29.92
X600309,P3091,2026-05-06,Other,235.7
X600310,P3103,2026-05-23,Accommodation,131.55
X600311,P3073,2026-08-24,Client Event,27.23
X600312,P3072,2026-06-18,Accommodation,139.13
X600313,P3091,2025-03-04,Accommodation,156.63
X600314,P3114,2026-08-22,Accommodation,115.09
X600315,P3050,2025-06-27,Travel,110.42
X600316,P3118,2025-10-02,Training,20.97
X600317,P3029,2026-11-23,Accommodation,149.2
X600318,P3005,2026-02-14,Software,54.23
X600319,P3075,2026-12-26,Travel,47.74
X600320,P3036,2025-02-18,Travel,71.53
X600321,P3025,2025-07-07,Accommodation,111.87
X600322,P3036,2026-06-16,Software,206.08
X600323,P3041,2025-07-27,Travel,75.39
X600324,P3093,2026-02-22,Accommodation,48.56
X600325,P3004,2025-02-03,Travel,212.51
X600326,P3087,2025-06-03,Client Event,41.36
X600327,P3025,2025-09-18,Client Event,26.49
X600328,P3014,2026-05-19,Training,81.05
X600329,P3110,2026-05-01,Other,104.17
X600330,P3103,2025-12-21,Client Event,133.43
X600331,P3021,2025-03-03,Accommodation,69.76
X600332,P3095,2026-03-23,Software,124.21
X600333,P3004,2025-02-01,Travel,109.64
X600334,P3019,2026-04-09,Travel,77.18
X600335,P3007,2026-12-06,Travel,31.17
X600336,P3065,2025-06-20,Accommodation,39.0
X600337,P3060,2025-02-07,Client Event,58.47
X600338,P3073,2025-10-02,Accommodation,151.35
X600339,P3005,2026-01-16,Software,33.42
X600340,P3005,2026-02-07,Travel,117.06
X600341,P3062,2025-12-12,Travel,23.29
X600342,P3039,2026-08-06,Other,81.6
X600343,P3032,2025-05-25,Travel,40.96
X600344,P3045,2025-12-19,Accommodation,103.05
X600345,P3058,2026-12-08,Software,54.51
X600346,P3038,2025-03-08,Travel,34.8
X600347,P3007,2026-01-14,Other,31.6
X600348,P3054,2025-11-30,Software,140.43
X600349,P3075,2025-12-14,Accommodation,151.99
X600350,P3070,2025-12-23,Travel,24.56
X600351,P3011,2025-05-14,Client Event,45.51
X600352,P3098,2025-07-22,Accommodation,527.31
X600353,P3049,2025-01-05,Accommodation,144.42
X600354,P3114,2025-11-09,Training,37.8
X600355,P3048,2025-01-24,Software,33.05
X600356,P3104,2025-10-18,Accommodation,18.44
X600357,P3033,2026-10-17,Accommodation,73.17
X600358,P3094,2025-09-16,Travel,15.69
X600359,P3053,2026-10-14,Travel,63.39
X600360,P3056,2026-06-21,Accommodation,151.37
X600361,P3023,2025-07-21,Travel,129.92
X600362,P3016,2025-08-13,Accommodation,90.03
X600363,P3098,2026-10-17,Other,62.53
X600364,P3057,2025-12-30,Travel,96.62
X600365,P3100,2025-05-10,Travel,21.05
X600366,P3077,2025-06-24,Client Event,11.85
X600367,P3104,2026-06-20,Travel,85.46
X600368,P3073,2025-07-16,Other,106.11
X600369,P3038,2026-02-22,Accommodation,73.81
X600370,P3112,2025-04-18,Training,273.01
X600371,P3001,2026-04-11,Travel,67.04
X600372,P3061,2025-12-06,Travel,88.58
X600373,P3100,2025-09-09,Other,109.34
X600374,P3016,2025-07-05,Accommodation,13.96
X600375,P3086,2025-06-09,Software,34.58
X600376,P3112,2025-03-03,Accommodation,101.26
X600377,P3113,2025-11-12,Training,145.81
X600378,P3001,2025-10-26,Accommodation,99.01
X600379,P3059,2026-06-24,Travel,19.6
X600380,P3042,2026-11-16,Travel,37.28
X600381,P3105,2025-03-01,Travel,36.36
X600382,P3054,2026-02-08,Training,299.99
X600383,P3067,2025-10-05,Client Event,71.17
X600384,P3075,2025-06-01,Other,30.02
X600385,P3006,2025-09-30,Travel,87.07
X600386,P3031,2026-11-22,Software,21.41
X600387,P3004,2025-05-05,Client Event,44.67
X600388,P3091,2025-07-17,Travel,31.7
X600389,P3010,2026-05-12,Other,275.9
X600390,P3079,2025-10-24,Client Event,22.98
X600391,P3045,2025-05-30,Accommodation,95.84
X600392,P3027,2026-06-09,Training,418.82
X600393,P3109,2026-08-10,Travel,88.76
X600394,P3098,2026-04-13,Travel,116.27
X600395,P3034,2026-05-20,Other,22.29
X600396,P3108,2025-10-20,Travel,49.71
X600397,P3093,2026-07-03,Travel,73.13
X600398,P3029,2025-04-30,Other,59.55
X600399,P3052,2025-12-30,Other,81.9
X600400,P3042,2025-05-12,Other,36.2
X600401,P3035,2025-01-01,Client Event,48.56
X600402,P3029,2026-10-18,Accommodation,152.11
X600403,P3051,2025-12-06,Accommodation,216.18
X600404,P3006,2025-01-11,Other,66.85
X600405,P3040,2026-12-26,Travel,93.49
X600406,P3035,2025-08-07,Other,500.87
X600407,P3089,2026-06-25,Accommodation,38.75
X600408,P3098,2025-01-09,Accommodation,16.27
X600409,P3070,2025-12-07,Travel,44.94
X600410,P3008,2026-03-15,Client Event,31.41
X600411,P3055,2026-01-09,Accommodation,98.19
X600412,P3073,2026-08-08,Training,318.46
X600413,P3063,2026-05-11,Client Event,952.55
X600414,P3085,2025-08-16,Accommodation,29.09
X600415,P3118,2025-06-21,Accommodation,66.84
X600416,P3101,2026-09-29,Travel,27.72
X600417,P3015,2025-11-10,Other,89.38
X600418,P3033,2026-10-29,Accommodation,45.99
X600419,P3046,2025-12-27,Client Event,61.71
X600420,P3120,2025-05-09,Travel,50.59
X600421,P3024,2026-03-29,Travel,30.93
X600422,P3073,2026-01-06,Other,124.84
X600423,P3069,2026-10-16,Training,98.31
X600424,P3026,2026-06-21,Client Event,69.64
X600425,P3016,2025-07-31,Travel,44.66
X600426,P3043,2025-03-02,Travel,75.9
X600427,P3059,2026-10-17,Client Event,76.49
X600428,P3010,2025-04-28,Travel,67.93
X600429,P3021,2025-02-05,Travel,83.29
X600430,P3071,2026-02-18,Software,35.99
X600431,P3059,2026-01-15,Software,103.11
X600432,P3111,2025-09-18,Other,71.15
X600433,P3002,2025-12-24,Travel,76.41
X600434,P3071,2025-07-25,Training,54.97
X600435,P3059,2025-11-20,Other,47.17
X600436,P3026,2025-07-27,Travel,37.97
X600437,P3062,2026-01-20,Travel,42.74
X600438,P3053,2025-06-11,Training,158.76
X600439,P3062,2026-05-21,Travel,98.55
X600440,P3112,2025-08-14,Other,10.74
X600441,P3016,2026-03-23,Travel,26.02
X600442,P3051,2025-08-02,Client Event,111.63
X600443,P3106,2025-04-27,Other,69.11
X600444,P3045,2025-11-25,Accommodation,57.47
X600445,P3001,2025-04-14,Accommodation,94.42
X600446,P3083,2026-03-27,Accommodation,38.81
X600447,P3111,2025-08-04,Training,65.83
X600448,P3112,2026-05-22,Travel,228.51
X600449,P3111,2026-05-21,Travel,20.61
X600450,P3111,2026-06-27,Accommodation,192.36
X600451,P3064,2025-01-21,Client Event,55.08
X600452,P3098,2026-10-09,Training,53.97
X600453,P3072,2025-11-21,Travel,56.1
X600454,P3047,2025-03-13,Other,63.7
X600455,P3056,2026-05-06,Travel,18.29
X600456,P3024,2025-01-15,Accommodation,38.08
X600457,P3120,2025-09-10,Other,43.58
X600458,P3052,2025-05-05,Travel,46.96
X600459,P3101,2026-01-31,Travel,26.87
X600460,P3046,2026-06-27,Other,111.77
X600461,P3070,2025-07-31,Travel,186.16
X600462,P3016,2025-11-10,Software,27.69
X600463,P3101,2025-10-15,Accommodation,37.38
X600464,P3023,2026-06-13,Training,416.1
X600465,P3008,2026-10-11,Travel,44.39
X600466,P3016,2025-02-22,Accommodation,156.05
X600467,P3103,2025-02-12,Training,37.63
X600468,P3013,2026-03-11,Accommodation,80.93
X600469,P3027,2026-05-01,Other,142.22
X600470,P3010,2025-04-16,Accommodation,54.96
X600471,P3010,2026-01-09,Accommodation,16.7
X600472,P3084,2026-10-17,Travel,263.67
X600473,P3063,2025-11-13,Software,28.31
X600474,P3073,2025-10-12,Training,47.7
X600475,P3011,2025-02-12,Travel,98.29
X600476,P3049,2025-08-26,Software,66.95
X600477,P3035,2026-01-01,Software,15.17
X600478,P3064,2026-08-18,Other,54.06
X600479,P3117,2026-11-02,Accommodation,31.58
X600480,P3070,2026-07-30,Travel,54.65
X600481,P3071,2025-03-25,Software,81.32
X600482,P3109,2025-06-21,Software,15.15
X600483,P3071,2025-11-26,Accommodation,23.17
X600484,P3042,2026-08-22,Accommodation,13.4
X600485,P3100,2025-04-04,Travel,75.39
X600486,P3113,2026-01-11,Software,166.08
X600487,P3011,2026-05-21,Accommodation,40.37
X600488,P3093,2026-02-04,Accommodation,43.96
X600489,P3099,2025-10-25,Accommodation,36.67
X600490,P3065,2026-01-10,Software,143.66
X600491,P3024,2026-02-02,Travel,16.79
X600492,P3073,2025-10-08,Other,479.78
X600493,P3055,2025-10-31,Software,37.05
X600494,P3053,2026-08-17,Other,35.14
X600495,P3058,2025-04-11,Other,55.92
X600496,P3102,2026-10-03,Accommodation,211.96
X600497,P3087,2025-09-18,Other,85.99
X600498,P3028,2026-02-08,Travel,56.38
X600499,P3094,2026-11-02,Travel,108.04
X600500,P3011,2025-10-28,Travel,53.15
X600501,P3094,2026-06-01,Training,56.25
X600502,P3050,2025-08-18,Travel,85.34
X600503,P3102,2025-06-17,Software,56.83
X600504,P3034,2026-11-08,Accommodation,80.31
X600505,P3001,2026-02-01,Accommodation,136.44
X600506,P3113,2025-04-28,Training,63.05
X600507,P3052,2025-10-29,Accommodation,70.25
X600508,P3030,2025-07-05,Software,22.72
X600509,P3057,2025-03-05,Software,118.66
X600510,P3075,2026-01-01,Software,79.35
X600511,P3004,2025-05-07,Client Event,80.46
X600512,P3115,2025-05-27,Other,128.56
X600513,P3106,2025-04-22,Training,19.26
X600514,P3009,2026-08-29,Client Event,32.15
X600515,P3105,2026-09-22,Accommodation,143.2
X600516,P3116,2026-07-17,Other,15.68
X600517,P3035,2025-06-03,Travel,9.58
X600518,P3008,2025-05-24,Training,11.47
X600519,P3111,2025-03-06,Accommodation,47.54
X600520,P3031,2026-02-14,Client Event,14.12
X600521,P3043,2025-07-26,Accommodation,66.08
X600522,P3017,2025-07-09,Travel,86.94
X600523,P3108,2025-09-30,Accommodation,15.74
X600524,P3009,2026-11-27,Software,74.33
X600525,P3103,2026-02-23,Other,57.74
X600526,P3082,2025-05-14,Travel,117.72
X600527,P3044,2026-12-28,Accommodation,40.35
X600528,P3015,2026-02-12,Other,98.46
X600529,P3060,2025-07-28,Accommodation,22.62
X600530,P3023,2025-08-04,Accommodation,58.23
X600531,P3087,2026-11-22,Accommodation,112.55
X600532,P3078,2025-11-29,Other,48.31
X600533,P3038,2025-12-10,Accommodation,22.1
X600534,P3099,2025-06-09,Travel,40.12
X600535,P3064,2025-07-25,Training,113.35
X600536,P3027,2026-04-22,Client Event,30.16
X600537,P3051,2026-08-20,Accommodation,21.21
X600538,P3020,2026-09-10,Training,179.25
X600539,P3050,2025-02-13,Client Event,76.27
X600540,P3082,2026-09-16,Travel,158.44
X600541,P3063,2026-05-27,Software,44.26
X600542,P3019,2025-02-02,Client Event,46.87
X600543,P3074,2025-11-30,Training,179.32
X600544,P3053,2025-06-22,Other,78.26
X600545,P3031,2026-12-10,Travel,55.89
X600546,P3032,2025-02-14,Travel,105.31
X600547,P3108,2025-02-06,Other,139.45
X600548,P3084,2025-03-21,Other,85.1
X600549,P3070,2026-07-04,Client Event,38.18
X600550,P3033,2025-02-23,Client Event,23.13
X600551,P3102,2026-08-22,Training,11.7
X600552,P3117,2025-09-11,Accommodation,30.99
X600553,P3020,2025-09-20,Accommodation,94.47
X600554,P3009,2026-08-20,Travel,23.96
X600555,P3062,2025-12-31,Other,62.3
X600556,P3006,2025-02-20,Other,100.39
X600557,P3088,2026-05-17,Travel,49.54
X600558,P3087,2026-04-22,Travel,180.3
X600559,P3035,2025-12-10,Accommodation,43.47
X600560,P3022,2026-12-25,Other,51.72
X600561,P3099,2026-12-27,Travel,158.61
X600562,P3054,2025-01-14,Software,33.61
X600563,P3005,2025-04-16,Travel,141.28
X600564,P3082,2026-11-30,Accommodation,89.44
X600565,P3097,2026-01-26,Training,82.42
X600566,P3085,2026-01-16,Accommodation,54.6
X600567,P3091,2026-03-19,Accommodation,118.08
X600568,P3029,2026-11-17,Travel,141.06
X600569,P3054,2025-09-22,Other,30.72
X600570,P3075,2026-01-10,Accommodation,25.56
X600571,P3120,2025-12-08,Client Event,101.35
X600572,P3104,2026-04-19,Travel,74.35
X600573,P3112,2026-02-02,Travel,114.57
X600574,P3061,2026-08-27,Other,91.32
X600575,P3042,2026-09-05,Client Event,205.54
X600576,P3027,2026-03-11,Accommodation,129.54
X600577,P3063,2026-05-27,Software,38.73
X600578,P3029,2025-02-15,Software,52.85
X600579,P3023,2025-06-10,Software,60.73
X600580,P3020,2026-07-20,Travel,30.49
X600581,P3053,2025-06-08,Training,165.74
X600582,P3098,2026-05-27,Accommodation,58.18
X600583,P3074,2025-09-24,Other,102.42
X600584,P3017,2025-11-21,Other,27.59
X600585,P3071,2026-01-17,Training,40.85
X600586,P3100,2026-02-11,Travel,86.23
X600587,P3025,2025-08-29,Training,2.83
X600588,P3027,2026-10-07,Travel,30.79
X600589,P3062,2026-11-03,Travel,38.14
X600590,P3038,2025-01-04,Travel,25.75
X600591,P3047,2026-12-24,Software,45.78
X600592,P3023,2025-08-10,Training,130.92
X600593,P3033,2025-03-14,Travel,153.28
X600594,P3108,2026-05-25,Software,22.92
X600595,P3071,2025-07-06,Software,16.31
X600596,P3080,2026-04-21,Travel,48.4
X600597,P3090,2026-08-14,Other,93.35
X600598,P3022,2026-01-21,Training,40.01
X600599,P3096,2026-11-02,Accommodation,37.93
X600600,P3086,2025-04-29,Other,83.96
X600601,P3057,2025-10-10,Other,39.05
X600602,P3073,2025-09-26,Travel,27.55
