Project_ID,Client_ID,Project_Name,Service_Line,Start_Date,End_Date,Project_Status,Budget_Hours,Budget_Cost,Contract_Value
P3053,C1033,Advisory Project 53,Operations Consulting,2025-01-03,2025-08-31,Completed,4002,226612.83,348342.57
P3054,C1041,Advisory Project 54,Technology Consulting,2026-03-05,2026-09-01,Completed,1641,83019.51,221356.77
P3055,C1013,Advisory Project 55,Risk & Advisory,2025-05-22,2025-07-21,At Risk,1525,91968.32,220437.12
P3056,C1030,Advisory Project 56,Risk & Advisory,2026-01-11,2026-04-11,Active,3001,170983.73,411811.13
P3057,C1033,Advisory Project 57,Risk & Advisory,2025-11-20,2026-05-19,At Risk,1590,64050.34,191682.17
P3058,C1013,Advisory Project 58,Data & Analytics,2025-05-26,2025-07-25,On Hold,4531,303764.2,379562.22
P3059,C1026,Advisory Project 59,Operations Consulting,2025-10-20,2026-02-17,Active,4848,222047.66,671268.38
P3060,C1022,Advisory Project 60,Risk & Advisory,2026-03-08,2026-06-06,On Hold,472,31142.28,62997.92
P3061,C1039,Advisory Project 61,Data & Analytics,2026-02-03,2026-06-03,Active,2314,156218.27,234529.13
P3062,C1002,Advisory Project 62,Operations Consulting,2025-12-10,2026-01-09,Active,2872,122350.77,393548.98
P3063,C1038,Advisory Project 63,Technology Consulting,2025-05-20,2026-01-15,Completed,3446,131180.54,401991.3
P3064,C1039,Advisory Project 64,Data & Analytics,2025-07-06,2026-05-02,Active,1107,81960.15,140317.21
P3065,C1026,Advisory Project 65,Strategy Consulting,2025-03-02,2025-12-27,Completed,2204,127810.01,316213.71
P3066,C1046,Advisory Project 66,Data & Analytics,2026-01-15,2026-07-14,Completed,4113,155916.38,646937.65
P3067,C1050,Advisory Project 67,Data & Analytics,2026-03-16,2026-05-15,Completed,2964,251179.19,423082.47
P3068,C1015,Advisory Project 68,Operations Consulting,2025-11-15,2026-05-14,Active,2875,108930.96,271290.06
P3069,C1034,Advisory Project 69,Technology Consulting,2025-10-29,2025-11-28,Completed,4010,279704.56,417960.17
P3070,C1042,Advisory Project 70,Strategy Consulting,2025-12-10,2026-01-09,Completed,4655,391876.27,714660.12
P3071,C1044,Advisory Project 71,Risk & Advisory,2025-01-11,2025-04-11,Completed,3223,151348.87,338260.41
P3072,C1049,Advisory Project 72,Risk & Advisory,2025-03-03,2025-07-01,Active,2135,89910.12,210476.76
P3073,C1040,Advisory Project 73,Data & Analytics,2025-08-14,2026-02-10,Active,1985,81522.46,219378.97
P3074,C1011,Advisory Project 74,Operations Consulting,2025-06-02,2025-11-29,Completed,466,23376.31,57288.31
P3075,C1003,Advisory Project 75,Operations Consulting,2025-11-06,2026-03-06,Active,3461,138620.98,423657.6
P3076,C1006,Advisory Project 76,Risk & Advisory,2025-08-31,2025-11-29,Completed,2828,196851.61,430674.15
P3077,C1009,Advisory Project 77,Strategy Consulting,2026-05-08,2027-03-04,Completed,4553,173535.73,461650.45
P3078,C1006,Advisory Project 78,Technology Consulting,2026-01-01,2026-05-01,Completed,741,44809.09,62048.64
P3079,C1009,Advisory Project 79,Strategy Consulting,2025-11-26,2026-03-26,Completed,3174,269265.79,294982.48
P3080,C1039,Advisory Project 80,Technology Consulting,2025-04-17,2025-06-16,At Risk,3217,243522.12,449603.11
P3081,C1031,Advisory Project 81,Risk & Advisory,2025-08-14,2026-02-10,On Hold,3061,201294.34,347442.12
P3082,C1032,Advisory Project 82,Technology Consulting,2025-08-06,2026-02-02,At Risk,1632,82110.3,147886.95
P3083,C1041,Advisory Project 83,Operations Consulting,2026-05-21,2026-08-19,Completed,4274,282916.54,649282.4
P3084,C1050,Advisory Project 84,Data & Analytics,2025-09-16,2025-11-15,Active,2801,171847.16,380499.01
P3085,C1012,Advisory Project 85,Data & Analytics,2026-06-01,2026-11-28,Active,1894,106640.1,271536.72
P3086,C1008,Advisory Project 86,Risk & Advisory,2025-02-23,2025-06-23,Completed,4611,191520.28,648632.84
P3087,C1008,Advisory Project 87,Operations Consulting,2025-02-16,2025-05-17,Active,1061,84169.35,117619.42
P3088,C1050,Advisory Project 88,Strategy Consulting,2026-06-05,2027-04-01,Completed,4283,246226.38,548993.76
P3089,C1028,Advisory Project 89,Operations Consulting,2025-04-09,2025-06-08,Active,4019,179774.39,454428.0
P3090,C1020,Advisory Project 90,Data & Analytics,2025-01-20,2025-05-20,Completed,2268,121083.91,352356.87
P3091,C1047,Advisory Project 91,Data & Analytics,2026-05-05,2026-12-31,Completed,2734,152301.54,397706.91
P3092,C1007,Advisory Project 92,Operations Consulting,2026-02-23,2026-05-24,Completed,3774,288246.4,479928.0
P3093,C1011,Advisory Project 93,Operations Consulting,2025-03-03,2025-07-01,Completed,1416,101499.9,196268.48
P3094,C1020,Advisory Project 94,Data & Analytics,2025-05-25,2025-08-23,Completed,4806,353073.97,450631.81
P3095,C1016,Advisory Project 95,Strategy Consulting,2025-08-04,2025-11-02,Active,607,21579.8,73205.79
P3096,C1004,Advisory Project 96,Risk & Advisory,2025-01-03,2025-10-30,On Hold,3065,171050.6,426046.9
P3097,C1006,Advisory Project 97,Risk & Advisory,2025-06-09,2025-09-07,Active,2893,170881.43,387632.17
P3098,C1022,Advisory Project 98,Operations Consulting,2025-04-30,2025-12-26,At Risk,1032,37110.32,92703.24
P3099,C1026,Advisory Project 99,Risk & Advisory,2025-03-30,2025-06-28,Completed,2502,120072.63,234548.69
P3100,C1003,Advisory Project 100,Data & Analytics,2025-11-25,2026-02-23,Active,3359,245255.68,302454.36
P3101,C1041,Advisory Project 101,Data & Analytics,2025-12-23,2026-01-22,Active,3483,145782.66,493175.54
P3102,C1042,Advisory Project 102,Operations Consulting,2025-09-24,2026-01-22,Completed,2331,143975.4,349151.57
P3103,C1014,Advisory Project 103,Operations Consulting,2025-11-19,2026-02-17,Active,4119,188485.83,367510.08
P3104,C1011,Advisory Project 104,Operations Consulting,2025-07-14,2026-03-11,Active,2962,105465.09,359809.52
P3105,C1018,Advisory Project 105,Strategy Consulting,2025-11-28,2026-03-28,Completed,2079,97837.89,269568.84
P3106,C1012,Advisory Project 106,Risk & Advisory,2025-06-19,2026-04-15,Completed,636,53292.79,90839.66
P3107,C1023,Advisory Project 107,Operations Consulting,2026-06-05,2026-09-03,Completed,4843,363597.21,607961.13
P3108,C1012,Advisory Project 108,Technology Consulting,2026-04-08,2026-12-04,At Risk,1940,160978.93,268121.7
P3109,C1013,Advisory Project 109,Technology Consulting,2025-02-09,2025-08-08,Completed,4343,257942.51,460442.02
P3110,C1025,Advisory Project 110,Data & Analytics,2026-06-21,2026-12-18,Completed,763,30891.44,70336.19
P3111,C1045,Advisory Project 111,Risk & Advisory,2025-09-18,2026-03-17,Active,2768,172717.59,321172.04
P3112,C1019,Advisory Project 112,Operations Consulting,2026-01-30,2026-07-29,Completed,685,39537.42,84795.38
P3113,C1046,Advisory Project 113,Technology Consulting,2025-08-14,2025-12-12,Active,548,42315.38,74381.98
P3114,C1036,Advisory Project 114,Risk & Advisory,2025-05-04,2025-07-03,At Risk,4437,177054.62,622523.0
P3115,C1045,Advisory Project 115,Data & Analytics,2025-02-07,2025-03-09,Completed,4951,294149.09,635042.21
P3116,C1008,Advisory Project 116,Strategy Consulting,2025-11-24,2026-07-22,Completed,2166,92060.27,191225.98
P3117,C1029,Advisory Project 117,Risk & Advisory,2025-09-08,2026-01-06,Active,1412,72342.12,172828.72
P3118,C1032,Advisory Project 118,Risk & Advisory,2025-06-25,2025-12-22,On Hold,3231,232205.04,263830.97
P3119,C1044,Advisory Project 119,Strategy Consulting,2026-03-30,2026-07-28,Completed,2907,170934.24,309386.04
P3120,C1018,Advisory Project 120,Risk & Advisory,2025-02-06,2025-04-07,Active,1923,103446.66,230578.12
