Invoice_ID,Project_ID,Invoice_Date,Billing_Rate,Billed_Hours,Billed_Amount,Discount,Invoice_Status
I500187,P3022,2026-08-10,115.42,270,31163.4,0.0,Paid
I500188,P3045,2025-02-22,88.88,100,7999.2,0.1,Disputed
I500189,P3023,2026-07-22,142.01,28,3976.28,0.0,Paid
I500190,P3065,2025-03-11,174.36,117,20400.12,0.0,Paid
I500191,P3063,2025-11-05,129.95,334,36892.8,0.15,Overdue
I500192,P3081,2026-12-01,70.48,253,17831.44,0.0,Pending
I500193,P3037,2026-09-27,105.38,273,24453.43,0.15,Paid
I500194,P3038,2026-03-12,93.46,394,36823.24,0.0,Pending
I500195,P3112,2025-04-07,103.35,385,38596.06,0.03,Pending
I500196,P3099,2025-08-24,124.68,286,35658.48,0.0,Paid
I500197,P3072,2025-05-14,176.76,58,9226.87,0.1,Pending
I500198,P3087,2026-09-11,144.12,258,31605.52,0.15,Paid
I500199,P3113,2026-08-24,113.45,379,36547.92,0.15,Paid
I500200,P3063,2026-07-03,164.82,382,56665.12,0.1,Paid
I500201,P3103,2026-06-22,160.39,45,6134.92,0.15,Paid
I500202,P3043,2025-05-19,86.09,88,6439.53,0.15,Paid
I500203,P3045,2025-01-15,117.7,231,24469.83,0.1,Pending
I500204,P3117,2026-04-13,88.52,316,27972.32,0.0,Pending
I500205,P3055,2025-03-11,72.5,152,10469.0,0.05,Pending
I500206,P3039,2026-07-23,99.61,85,8466.85,0.0,Paid
I500207,P3016,2026-12-07,134.24,53,6047.51,0.15,Pending
I500208,P3116,2026-09-30,149.13,466,59070.39,0.15,Pending
I500209,P3010,2026-07-13,138.13,49,6565.32,0.03,Pending
I500210,P3077,2026-01-17,145.56,478,69577.68,0.0,Paid
I500211,P3086,2026-08-24,89.53,468,40643.04,0.03,Pending
I500212,P3005,2026-09-02,77.7,138,10400.92,0.03,Paid
I500213,P3020,2026-05-15,178.77,171,29041.19,0.05,Paid
I500214,P3074,2026-11-24,79.96,49,3722.14,0.05,Overdue
I500215,P3022,2025-12-02,79.36,21,1666.56,0.0,Paid
I500216,P3030,2025-05-18,80.94,122,9578.44,0.03,Paid
I500217,P3058,2025-08-05,162.63,274,44560.62,0.0,Overdue
I500218,P3098,2025-10-27,170.65,374,60631.94,0.05,Paid
I500219,P3076,2026-11-09,84.13,269,22630.97,0.0,Paid
I500220,P3024,2026-06-19,148.33,280,41532.4,0.0,Paid
I500221,P3050,2025-05-05,98.13,214,20999.82,0.0,Pending
I500222,P3119,2025-11-16,85.1,193,14781.87,0.1,Paid
I500223,P3084,2025-06-07,162.19,378,61307.82,0.0,Paid
I500224,P3091,2026-11-27,107.12,492,52703.04,0.0,Paid
I500225,P3065,2025-07-13,173.89,497,86423.33,0.0,Disputed
I500226,P3104,2026-08-05,146.45,399,58433.55,0.0,Paid
I500227,P3059,2025-12-30,96.96,132,11518.85,0.1,Paid
I500228,P3094,2025-12-24,156.31,283,44235.73,0.0,Pending
I500229,P3074,2025-04-20,169.55,209,33664.15,0.05,Paid
I500230,P3114,2026-03-20,154.33,167,23195.8,0.1,Paid
I500231,P3097,2026-09-30,83.69,339,28370.91,0.0,Pending
I500232,P3072,2026-02-16,102.07,246,21342.84,0.15,Paid
I500233,P3119,2026-10-16,78.72,330,25198.27,0.03,Paid
I500234,P3092,2025-04-26,122.03,252,29213.98,0.05,Paid
I500235,P3024,2025-01-23,72.76,430,29722.46,0.05,Paid
I500236,P3034,2025-02-06,176.47,213,36460.47,0.03,Disputed
I500237,P3073,2025-11-02,113.75,106,11454.62,0.05,Paid
I500238,P3098,2026-03-31,158.44,355,56246.2,0.0,Paid
I500239,P3095,2025-11-08,150.3,477,64523.79,0.1,Pending
I500240,P3090,2025-10-10,77.44,44,3407.36,0.0,Pending
I500241,P3098,2026-01-28,137.67,366,45348.5,0.1,Pending
I500242,P3113,2025-11-21,119.22,138,14807.12,0.1,Paid
I500243,P3088,2025-06-30,101.96,237,23439.58,0.03,Paid
I500244,P3045,2026-11-15,91.37,474,43309.38,0.0,Overdue
I500245,P3047,2025-05-06,129.47,231,26916.81,0.1,Paid
I500246,P3044,2025-10-11,162.14,120,18873.1,0.03,Paid
I500247,P3043,2026-02-12,102.71,164,16339.11,0.03,Disputed
I500248,P3038,2026-07-08,169.6,132,22387.2,0.0,Paid
I500249,P3095,2025-05-30,87.33,161,11951.11,0.15,Overdue
I500250,P3003,2025-11-08,79.69,300,23907.0,0.0,Paid
I500251,P3018,2026-07-14,154.65,421,63154.42,0.03,Paid
I500252,P3092,2026-04-10,177.03,102,18057.06,0.0,Paid
I500253,P3047,2026-02-28,170.73,155,26463.15,0.0,Paid
I500254,P3014,2025-01-26,141.53,484,68500.52,0.0,Paid
I500255,P3096,2026-05-13,76.21,109,8306.89,0.0,Paid
I500256,P3080,2026-07-08,177.9,187,33267.3,0.0,Paid
I500257,P3118,2025-01-21,135.89,338,39041.2,0.15,Paid
I500258,P3119,2025-08-11,172.83,53,8701.99,0.05,Pending
I500259,P3049,2025-01-18,97.27,268,26068.36,0.0,Overdue
I500260,P3057,2025-12-10,129.13,345,44549.85,0.0,Overdue
I500261,P3120,2026-12-23,71.85,70,4526.55,0.1,Paid
I500262,P3051,2026-03-23,73.15,43,2988.18,0.05,Paid
I500263,P3030,2025-07-22,81.81,444,32691.28,0.1,Paid
I500264,P3083,2025-02-03,81.58,152,12400.16,0.0,Paid
I500265,P3093,2026-04-23,148.13,460,68139.8,0.0,Paid
I500266,P3058,2026-07-11,124.8,456,56908.8,0.0,Paid
I500267,P3004,2025-03-13,97.74,459,43516.78,0.03,Paid
I500268,P3001,2026-06-24,96.43,70,5737.58,0.15,Paid
I500269,P3057,2025-11-02,136.21,214,28274.47,0.03,Paid
I500270,P3079,2025-05-30,88.48,89,6693.51,0.15,Pending
I500271,P3055,2026-12-24,121.75,22,2678.5,0.0,Paid
I500272,P3043,2026-10-03,125.56,315,35596.26,0.1,Disputed
I500273,P3022,2025-06-03,124.64,449,55963.36,0.0,Paid
I500274,P3091,2026-07-01,176.92,143,24034.58,0.05,Pending
I500275,P3020,2025-10-09,94.08,459,43182.72,0.0,Disputed
I500276,P3061,2025-12-23,155.62,438,68161.56,0.0,Paid
I500277,P3057,2026-03-07,169.32,451,64908.82,0.15,Paid
I500278,P3049,2025-05-06,140.29,95,13327.55,0.0,Paid
I500279,P3114,2025-09-10,154.3,426,65731.8,0.0,Pending
I500280,P3113,2026-06-03,134.33,380,51045.4,0.0,Paid
I500281,P3078,2025-10-09,130.84,91,10120.47,0.15,Paid
I500282,P3062,2025-10-14,142.92,78,10032.98,0.1,Paid
I500283,P3053,2025-06-02,102.3,409,35564.59,0.15,Overdue
I500284,P3003,2025-06-29,113.72,422,40791.36,0.15,Paid
I500285,P3045,2026-12-22,103.22,47,4608.77,0.05,Paid
I500286,P3084,2025-11-27,136.9,100,13690.0,0.0,Pending
I500287,P3038,2025-07-20,171.25,473,72901.12,0.1,Paid
I500288,P3102,2025-05-13,74.78,419,29766.18,0.05,Paid
I500289,P3058,2026-05-16,78.48,176,13398.11,0.03,Paid
I500290,P3041,2025-04-11,101.43,64,5842.37,0.1,Paid
I500291,P3081,2025-10-26,87.83,45,3952.35,0.0,Disputed
I500292,P3097,2026-11-21,93.05,50,3954.62,0.15,Paid
I500293,P3054,2025-01-22,151.89,102,14718.14,0.05,Paid
I500294,P3020,2026-11-27,112.48,51,5736.48,0.0,Paid
I500295,P3068,2025-05-18,79.21,29,2067.38,0.1,Paid
I500296,P3073,2026-10-27,74.42,101,7516.42,0.0,Pending
I500297,P3075,2025-07-22,102.25,467,47750.75,0.0,Pending
I500298,P3065,2025-12-02,161.58,195,31508.1,0.0,Paid
I500299,P3033,2025-05-21,80.59,489,33497.23,0.15,Paid
I500300,P3086,2025-07-14,124.4,484,58403.31,0.03,Paid
I500301,P3037,2025-11-01,130.39,72,7979.87,0.15,Overdue
I500302,P3015,2025-12-26,88.17,139,11030.07,0.1,Paid
I500303,P3111,2025-10-27,153.28,66,10116.48,0.0,Pending
I500304,P3014,2026-08-10,166.56,189,31479.84,0.0,Paid
I500305,P3081,2025-02-15,126.24,43,4885.49,0.1,Paid
I500306,P3075,2025-12-15,86.93,185,16082.05,0.0,Overdue
I500307,P3102,2026-04-12,70.11,127,8013.57,0.1,Paid
I500308,P3093,2025-05-22,73.85,345,21656.51,0.15,Pending
I500309,P3111,2026-04-15,145.78,260,37902.8,0.0,Paid
I500310,P3025,2025-10-23,72.57,93,6074.11,0.1,Overdue
I500311,P3023,2025-05-22,75.67,288,21792.96,0.0,Paid
I500312,P3037,2025-08-04,160.78,371,59649.38,0.0,Paid
I500313,P3023,2026-05-27,104.46,74,7498.14,0.03,Paid
I500314,P3076,2026-06-11,93.15,270,22635.45,0.1,Disputed
I500315,P3080,2025-02-03,139.52,202,28183.04,0.0,Pending
I500316,P3049,2025-02-10,88.18,427,32004.93,0.15,Paid
I500317,P3096,2025-10-29,164.35,191,26682.22,0.15,Pending
I500318,P3060,2025-02-06,104.85,43,4508.55,0.0,Overdue
I500319,P3002,2026-01-14,158.91,95,15096.45,0.0,Paid
I500320,P3028,2025-04-24,128.29,219,25285.96,0.1,Pending
I500321,P3084,2025-05-15,125.69,389,48893.41,0.0,Paid
I500322,P3119,2025-11-27,117.26,160,18761.6,0.0,Paid
I500323,P3002,2026-08-24,134.77,438,56077.8,0.05,Paid
I500324,P3079,2025-07-16,149.3,442,59391.54,0.1,Pending
I500325,P3109,2025-12-30,77.34,107,7447.84,0.1,Pending
I500326,P3050,2025-11-25,80.02,158,12643.16,0.0,Paid
I500327,P3114,2026-10-20,111.97,170,19034.9,0.0,Paid
I500328,P3047,2025-08-30,151.34,55,7075.14,0.15,Paid
I500329,P3032,2026-10-07,92.86,262,21896.39,0.1,Pending
I500330,P3117,2026-09-16,169.09,383,64761.47,0.0,Paid
I500331,P3006,2026-09-19,102.5,289,29622.5,0.0,Overdue
I500332,P3037,2025-07-24,113.18,164,17633.44,0.05,Paid
I500333,P3080,2025-05-31,89.09,368,27867.35,0.15,Paid
I500334,P3044,2026-08-05,151.31,223,33742.13,0.0,Overdue
I500335,P3071,2026-11-06,148.41,250,37102.5,0.0,Paid
I500336,P3091,2026-08-17,162.99,228,35303.63,0.05,Paid
I500337,P3056,2025-01-22,104.21,75,7581.28,0.03,Paid
I500338,P3077,2026-12-05,178.77,97,16473.66,0.05,Paid
I500339,P3027,2025-03-23,171.5,494,80484.95,0.05,Paid
I500340,P3013,2025-05-21,84.14,420,34278.64,0.03,Pending
I500341,P3012,2025-01-21,143.19,433,62001.27,0.0,Paid
I500342,P3099,2026-11-13,148.58,131,16544.38,0.15,Paid
I500343,P3074,2026-08-09,167.43,407,61329.61,0.1,Overdue
I500344,P3043,2025-08-04,75.65,231,15727.64,0.1,Paid
I500345,P3050,2025-08-30,75.09,363,27257.67,0.0,Pending
I500346,P3010,2025-08-05,149.7,69,8779.9,0.15,Pending
I500347,P3115,2025-03-17,172.19,162,27894.78,0.0,Overdue
I500348,P3049,2025-08-30,71.66,124,8885.84,0.0,Overdue
I500349,P3104,2026-02-19,140.46,191,26827.86,0.0,Paid
I500350,P3049,2026-10-21,81.32,385,31308.2,0.0,Paid
I500351,P3068,2026-07-26,127.67,341,39181.92,0.1,Paid
I500352,P3095,2026-04-19,78.06,414,27469.31,0.15,Paid
I500353,P3117,2026-10-11,86.76,426,31415.8,0.15,Pending
I500354,P3029,2026-11-19,87.87,413,36290.31,0.0,Pending
I500355,P3059,2026-03-11,141.87,61,8654.07,0.0,Paid
I500356,P3016,2025-09-15,85.82,439,37674.98,0.0,Pending
I500357,P3119,2025-03-17,76.58,100,7658.0,0.0,Overdue
I500358,P3110,2025-05-31,81.94,275,22533.5,0.0,Paid
I500359,P3114,2026-01-20,126.21,406,51241.26,0.0,Paid
I500360,P3108,2025-03-27,172.58,236,40728.88,0.0,Paid
I500361,P3103,2026-05-01,174.4,90,15696.0,0.0,Paid
I500362,P3060,2025-09-05,157.37,374,55913.56,0.05,Disputed
I500363,P3120,2025-03-14,141.68,316,38055.25,0.15,Paid
I500364,P3043,2025-04-02,170.28,426,72539.28,0.0,Overdue
I500365,P3073,2026-03-11,168.63,163,23363.69,0.15,Paid
I500366,P3070,2025-12-23,144.97,33,4640.49,0.03,Paid
I500367,P3033,2026-10-14,120.38,497,59828.86,0.0,Overdue
I500368,P3093,2025-09-30,169.47,30,4829.9,0.05,Paid
I500369,P3019,2026-04-26,172.73,361,59237.75,0.05,Paid
I500370,P3007,2025-12-15,133.37,370,47866.49,0.03,Paid
I500371,P3075,2026-08-02,159.49,274,43700.26,0.0,Pending
I500372,P3023,2026-02-25,178.43,41,6949.85,0.05,Paid
I500373,P3058,2026-07-11,137.13,137,15968.79,0.15,Paid
I500374,P3095,2026-02-23,142.02,107,13676.53,0.1,Overdue
I500375,P3014,2026-08-16,164.45,227,35463.64,0.05,Paid
I500376,P3031,2025-05-12,153.15,195,29864.25,0.0,Overdue
I500377,P3042,2026-08-25,163.67,170,27823.9,0.0,Pending
I500378,P3062,2026-04-27,156.62,401,56524.16,0.1,Paid
I500379,P3043,2025-01-20,156.35,431,57278.82,0.15,Paid
I500380,P3002,2025-12-15,165.12,163,26914.56,0.0,Overdue
I500381,P3026,2025-04-30,174.95,227,39713.65,0.0,Disputed
I500382,P3053,2026-06-05,135.81,245,33273.45,0.0,Paid
I500383,P3033,2026-09-30,87.77,150,11190.68,0.15,Paid
I500384,P3009,2025-08-31,163.59,259,36014.34,0.15,Paid
I500385,P3036,2025-10-07,167.06,465,69914.61,0.1,Paid
I500386,P3081,2025-06-24,111.8,170,19006.0,0.0,Overdue
I500387,P3047,2026-09-01,77.6,457,34399.3,0.03,Paid
I500388,P3017,2025-08-06,104.58,183,19138.14,0.0,Pending
I500389,P3043,2026-12-23,90.98,164,14920.72,0.0,Pending
I500390,P3061,2026-02-05,90.97,132,10807.24,0.1,Overdue
I500391,P3078,2025-09-19,112.29,307,33438.84,0.03,Paid
I500392,P3095,2026-06-05,112.65,149,14267.12,0.15,Overdue
I500393,P3012,2026-09-26,92.23,492,43108.3,0.05,Paid
I500394,P3067,2025-11-08,101.76,193,19639.68,0.0,Paid
I500395,P3097,2025-11-27,165.91,346,57404.86,0.0,Paid
I500396,P3096,2025-12-23,177.29,222,39358.38,0.0,Paid
I500397,P3114,2026-04-22,131.79,120,15814.8,0.0,Paid
I500398,P3033,2026-05-11,163.76,262,36469.35,0.15,Paid
I500399,P3102,2025-08-21,113.05,453,43529.9,0.15,Paid
I500400,P3023,2026-03-13,97.81,283,27680.23,0.0,Pending
I500401,P3097,2025-10-20,94.97,335,30224.2,0.05,Pending
I500402,P3081,2026-03-17,155.77,424,66046.48,0.0,Paid
I500403,P3106,2026-06-24,102.03,72,7125.78,0.03,Paid
I500404,P3050,2026-09-02,127.22,367,45289.05,0.03,Paid
I500405,P3077,2025-01-16,99.03,393,38918.79,0.0,Overdue
I500406,P3096,2026-10-16,129.45,445,48964.46,0.15,Paid
